variable,code,category,n,pct
Data collection mode,src_mode,Online,40,57.1
Data collection mode,src_mode,Phone,15,21.4
Data collection mode,src_mode,F2F,15,21.4
Gender,gender,Male,57,81.4
Gender,gender,Female,13,18.6
Educational attendance,edu_attendance,University,42,60.0
Educational attendance,edu_attendance,Does not attend,23,32.9
Educational attendance,edu_attendance,Other educational institution,2,2.9
Educational attendance,edu_attendance,Vocational/Technical Institution,2,2.9
Educational attendance,edu_attendance,School,1,1.4
Main occupation,occupation,Professional,58,82.9
Main occupation,occupation,"Legislator, senior official, and manager",6,8.6
Main occupation,occupation,Technician and associate professional,3,4.3
Main occupation,occupation,No occupation,2,2.9
Main occupation,occupation,Skilled agricultural and fishery worker,1,1.4
Relationship to head,rel_head,Son/daughter,46,65.7
Relationship to head,rel_head,Head of the household,12,17.1
Relationship to head,rel_head,Parents of the head of the household/spouse,5,7.1
Relationship to head,rel_head,Wife/Husband,4,5.7
Relationship to head,rel_head,Son-in-law/Daughter in law,1,1.4
Relationship to head,rel_head,Another relative,1,1.4
Relationship to head,rel_head,Other,1,1.4
