metric,k,n,proportion,wilson_lo,wilson_hi,boot_lo,boot_hi
Grid power,58,70,0.8286,0.7238,0.8991,0.7429,0.9143
Solar,10,70,0.1429,0.0795,0.2434,0.0714,0.2286
Mini-hydro,1,70,0.0143,0.0025,0.0766,0.0,0.0429
Other green,1,70,0.0143,0.0025,0.0766,0.0,0.0429
None of the above,7,70,0.1,0.0493,0.1923,0.0286,0.1714
Any renewable (solar/hydro/other-green),12,70,0.1714,0.1009,0.2762,0.0857,0.2714
Solar user (any solar purpose reported),16,70,0.2286,0.1459,0.3395,0.1429,0.3286
Wiring done by a professional (Yes),57,70,0.8143,0.7077,0.8881,0.7286,0.9
Wiring: not aware,10,70,0.1429,0.0795,0.2434,0.0714,0.2286
Pays at least the full bill (exact or round-up),56,70,0.8,0.6918,0.877,0.7,0.8857
Pays less than the full bill (round-down or partial),14,70,0.2,0.123,0.3082,0.1143,0.3
Received >=1 red notice last year,14,70,0.2,0.123,0.3082,0.1143,0.3
