variable,Build period,Arch. design,House type,Wall material,Roof type,Rel. to head,Gender,Education,Occupation,Pay practice,Pro wiring,Any red notice,Uses renewable,Solar user,Province,Bill literacy,Ironing eff.,Night-light,Meter check,Energy rating
Build period,1.0,0.193,0.0,0.24,0.255,0.207,0.0,0.083,0.206,0.0,0.0,0.0,0.0,0.0,0.127,0.0,0.158,0.0,0.036,0.098
Arch. design,0.193,1.0,0.152,0.0,0.106,0.112,0.0,0.0,0.0,0.174,0.306,0.195,0.297,0.35,0.197,0.0,0.065,0.192,0.0,0.213
House type,0.0,0.152,1.0,0.0,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.193,0.029,0.0,0.0
Wall material,0.24,0.0,0.0,1.0,0.273,0.255,0.0,0.114,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.183,0.0
Roof type,0.255,0.106,0.347,0.273,1.0,0.0,0.0,0.0,0.0,0.098,0.0,0.068,0.152,0.0,0.0,0.0,0.278,0.152,0.0,0.0
Rel. to head,0.207,0.112,0.0,0.255,0.0,1.0,0.38,0.497,0.111,0.103,0.1,0.117,0.152,0.274,0.0,0.043,0.0,0.151,0.272,0.364
Gender,0.0,0.0,0.0,0.0,0.0,0.38,1.0,0.0,0.0,0.298,0.0,0.045,0.0,0.131,0.338,0.0,0.0,0.0,0.239,0.038
Education,0.083,0.0,0.0,0.114,0.0,0.497,0.0,1.0,0.285,0.194,0.0,0.126,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.136
Occupation,0.206,0.0,0.0,0.0,0.0,0.111,0.0,0.285,1.0,0.294,0.167,0.293,0.0,0.023,0.0,0.0,0.23,0.0,0.0,0.0
Pay practice,0.0,0.174,0.0,0.0,0.098,0.103,0.298,0.194,0.294,1.0,0.0,0.198,0.0,0.0,0.0,0.111,0.155,0.196,0.0,0.199
Pro wiring,0.0,0.306,0.0,0.11,0.0,0.1,0.0,0.0,0.167,0.0,1.0,0.0,0.0,0.0,0.092,0.0,0.114,0.0,0.066,0.167
Any red notice,0.0,0.195,0.0,0.0,0.068,0.117,0.045,0.126,0.293,0.198,0.0,1.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0
Uses renewable,0.0,0.297,0.0,0.0,0.152,0.152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.649,0.0,0.0,0.0,0.0,0.0,0.151
Solar user,0.0,0.35,0.0,0.0,0.0,0.274,0.131,0.0,0.023,0.0,0.0,0.0,0.649,1.0,0.0,0.072,0.0,0.138,0.0,0.0
Province,0.127,0.197,0.0,0.0,0.0,0.0,0.338,0.0,0.0,0.0,0.092,0.0,0.0,0.0,1.0,0.0,0.056,0.163,0.172,0.0
Bill literacy,0.0,0.0,0.1,0.0,0.0,0.043,0.0,0.088,0.0,0.111,0.0,0.086,0.0,0.072,0.0,1.0,0.075,0.0,0.0,0.0
Ironing eff.,0.158,0.065,0.193,0.0,0.278,0.0,0.0,0.0,0.23,0.155,0.114,0.0,0.0,0.0,0.056,0.075,1.0,0.165,0.181,0.0
Night-light,0.0,0.192,0.029,0.05,0.152,0.151,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.138,0.163,0.0,0.165,1.0,0.0,0.0
Meter check,0.036,0.0,0.0,0.183,0.0,0.272,0.239,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.172,0.0,0.181,0.0,1.0,0.208
Energy rating,0.098,0.213,0.0,0.0,0.0,0.364,0.038,0.136,0.0,0.199,0.167,0.0,0.151,0.0,0.0,0.0,0.0,0.0,0.208,1.0
