variable,Floor area,Stories,Food exp.,Nonfood exp.,Total exp.,Red notices,Bill literacy,Ironing eff.,Night-light,Meter check,Energy rating,ECI
Floor area,1.0,0.292,-0.179,0.086,-0.001,-0.268,0.005,-0.026,-0.025,-0.015,-0.15,-0.082
Stories,0.292,1.0,0.087,0.067,0.143,-0.077,0.079,-0.148,-0.182,-0.068,0.021,-0.063
Food exp.,-0.179,0.087,1.0,0.561,0.809,0.096,0.034,0.031,-0.226,-0.014,0.061,-0.103
Nonfood exp.,0.086,0.067,0.561,1.0,0.915,0.039,-0.148,-0.009,-0.303,0.052,-0.058,-0.207
Total exp.,-0.001,0.143,0.809,0.915,1.0,0.053,-0.077,-0.007,-0.297,0.035,-0.006,-0.168
Red notices,-0.268,-0.077,0.096,0.039,0.053,1.0,-0.001,0.027,0.094,0.093,-0.053,0.018
Bill literacy,0.005,0.079,0.034,-0.148,-0.077,-0.001,1.0,-0.051,-0.113,-0.117,0.035,0.386
Ironing eff.,-0.026,-0.148,0.031,-0.009,-0.007,0.027,-0.051,1.0,0.175,0.149,0.014,0.37
Night-light,-0.025,-0.182,-0.226,-0.303,-0.297,0.094,-0.113,0.175,1.0,-0.087,-0.079,0.277
Meter check,-0.015,-0.068,-0.014,0.052,0.035,0.093,-0.117,0.149,-0.087,1.0,0.281,0.552
Energy rating,-0.15,0.021,0.061,-0.058,-0.006,-0.053,0.035,0.014,-0.079,0.281,1.0,0.618
ECI,-0.082,-0.063,-0.103,-0.207,-0.168,0.018,0.386,0.37,0.277,0.552,0.618,1.0
