family,var_a,var_b,block,relation,test,effect,effect_size,ci_lo,ci_hi,p,q,n,rows,cols,min_expected,interpretation
categorical,Relationship to head,Educational attendance,demographic,substantive,chi2,cramers_v,0.4969,,,0.0,0.0,70,7.0,5.0,0.0143,moderate
categorical,Uses renewable source,Solar user,energy,substantive,fisher,cramers_v,0.6487,,,0.0,0.0001,70,2.0,2.0,2.7429,large
categorical,Educational attendance,Main occupation,demographic,substantive,chi2,cramers_v,0.2847,,,0.0017,0.0889,70,5.0,5.0,0.0143,small
categorical,House type,Roof type,dwelling,substantive,chi2,cramers_v,0.3474,,,0.0019,0.0889,70,5.0,3.0,0.1,moderate
categorical,Main occupation,Bill-payment practice,demographic~energy,substantive,chi2,cramers_v,0.2942,,,0.0032,0.1234,70,5.0,4.0,0.1,small
categorical,Outer-wall material,Roof type,dwelling,substantive,chi2,cramers_v,0.2731,,,0.0067,0.212,70,3.0,3.0,0.4,small
categorical,Architectural design level,Professional wiring,dwelling~energy,substantive,chi2,cramers_v,0.306,,,0.0112,0.275,70,6.0,3.0,0.0429,moderate
categorical,Relationship to head,Gender,demographic,substantive,chi2,cramers_v,0.38,,,0.0135,0.275,70,7.0,2.0,0.1857,moderate
categorical,Relationship to head,Meter-checking frequency,demographic~behaviour,substantive,chi2,cramers_v,0.2724,,,0.0159,0.275,70,7.0,4.0,0.2,small
categorical,Roof type,Ironing efficiency,dwelling~behaviour,substantive,chi2,cramers_v,0.2783,,,0.0169,0.275,70,3.0,5.0,0.3,small
categorical,Main occupation,Ironing efficiency,demographic~behaviour,substantive,chi2,cramers_v,0.2302,,,0.0169,0.275,70,5.0,5.0,0.0429,small
categorical,Relationship to head,Energy-rating awareness,demographic~behaviour,substantive,chi2,cramers_v,0.3635,,,0.0187,0.275,70,7.0,2.0,0.2714,moderate
categorical,Architectural design level,Solar user,dwelling~energy,substantive,chi2,cramers_v,0.3503,,,0.0188,0.275,70,6.0,2.0,0.2286,moderate
categorical,Gender,Province,demographic~context,substantive,chi2,cramers_v,0.3383,,,0.0237,0.3217,70,2.0,6.0,0.1857,moderate
categorical,Gender,Bill-payment practice,demographic~energy,substantive,chi2,cramers_v,0.2984,,,0.0269,0.3409,70,2.0,4.0,1.3,small
categorical,Construction period,Roof type,dwelling,substantive,chi2,cramers_v,0.2551,,,0.0403,0.422,70,6.0,3.0,0.6,small
