,Bill-calc literacy,Ironing efficiency,Night-light restraint,Meter-checking,Energy-rating use
Floor area (sq ft),0.0,0.001,0.001,0.0,0.023
No. of stories,0.006,0.022,0.033,0.005,0.0
Food exp (Rs/mo),0.001,0.001,0.051,0.0,0.004
Non-food exp (Rs/mo),0.022,0.0,0.092,0.003,0.003
Total exp (Rs/mo),0.006,0.0,0.088,0.001,0.0
Construction period,-0.006,-0.038,-0.044,-0.039,0.01
Architectural design,-0.025,-0.021,-0.011,-0.02,0.018
House type,0.003,-0.024,0.054,-0.022,-0.028
Wall material,-0.011,-0.014,0.027,0.028,-0.002
Roof type,0.008,0.053,0.051,0.007,-0.012
Province,-0.019,0.039,0.015,0.041,-0.036
Gender,-0.011,-0.005,-0.012,0.053,0.001
University-educated,-0.013,-0.007,-0.014,-0.011,0.01
Professional occup.,0.006,-0.01,-0.013,-0.003,-0.003
Pro. wiring,-0.007,0.023,-0.014,-0.013,0.0
Uses renewable,-0.013,-0.009,0.006,-0.009,0.023
Bill-payment style,-0.008,0.008,0.021,0.011,0.05
