src_mode,build_period,arch_design,house_type,stories,area_sqft,rel_head,gender,edu_attendance,occupation,food_exp,nonfood_exp,wall_material,vent_raw,roof_type,red_notices,pay_practice,wiring_pro,gen_raw,solar_raw,billknow_raw,iron_raw,nightlight_raw,metercheck_raw,enrating_raw,district,total_exp,area_per_story,any_red_notice,province,vent_glassroof,vent_glasswall,vent_other,vent_pergola,vent_window,vent_count,vent_reported,gen_grid,gen_hydro,gen_othergreen,gen_solar,gen_count,gen_none,uses_renewable,solar_agri,solar_car,solar_cooking,solar_other,solar_outdoor,solar_water,solar_purpose_count,solar_user,eci_billknow,eci_billknow_norm,eci_iron,eci_iron_norm,eci_nightlight,eci_nightlight_norm,eci_metercheck,eci_metercheck_norm,eci_enrating,eci_enrating_norm,eci_raw_sum,eci,eci_band
Online,1990 - 1999,The house was designed by a certified architect,Single House - Single Floor,1.0,850.0,Head of the household,Male,University,Professional,80000.0,80000.0,Brick,Other,Tile,0,I try to pay the exact amount in the bill (ex: 4566),Yes,"Electricity grid power, Solar Energy","Water heating, Outdoor lighting, Cooking",I am not aware of how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Yes, some of the months",Yes,Colombo,160000.0,850.0,0,Western,0,0,1,0,0,1,1,1,0,0,1,2,0,1,0,0,1,0,1,1,3,1,0,0.0,1,0.25,2,1.0,2,0.6666666666666666,1,1.0,6,58.33333333333333,Medium
Online,After 2019,The house was designed by a certified architect,Single House -Double Floor,2.0,2000.0,Son/daughter,Female,University,Technician and associate professional,25000.0,40000.0,Brick,Transparent walls (clear glass/ semi-transparent glass),Asbestos,1,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,Not using solar energy,I got to know through the media,We iron the clothes weekly,We don’t keep any of the lights on when sleeping,"Rarely, once a year",Yes,Gampaha,65000.0,1000.0,1,Western,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,3,0.75,2,1.0,1,0.3333333333333333,1,1.0,8,71.66666666666667,High
Online,2010 - 2019,The house was designed by a certified architect,Single House - Single Floor,1.0,2300.0,Head of the household,Male,University,Professional,30000.0,35000.0,Cement Block,"Transparent roofing parts, Transparent walls (clear glass/ semi-transparent glass)",Concrete,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Solar Energy,"Outdoor lighting, Cooking",I got to know through the media,We iron the clothes weekly,We don’t keep any of the lights on when sleeping,"Yes, every month",Yes,Galle,65000.0,2300.0,0,Southern,1,1,0,0,0,2,1,0,0,0,1,1,0,1,0,0,1,0,1,0,2,1,1,0.5,3,0.75,2,1.0,3,1.0,1,1.0,10,85.0,High
Online,2000 - 2009,I am not aware of it,Single House -Double Floor,2.0,1700.0,Son/daughter,Male,University,Professional,100000.0,150000.0,Cement Block,,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,I am not aware of it,Electricity grid power,Not using solar energy,I got to know through the media,We iron when and where the need arises,We keep less than two-night lights on when sleeping,Never,No,Colombo,250000.0,850.0,0,Western,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.25,1,0.5,0,0.0,0,0.0,3,25.0,Low
Online,2010 - 2019,The house was designed by a certified architect,Single House -Double Floor,2.0,1700.0,Parents of the head of the household/spouse,Female,Other educational institution,Professional,30000.0,20000.0,Cement Block,Transparent walls (clear glass/ semi-transparent glass),Concrete,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We don’t iron cloths,We don’t keep any of the lights on when sleeping,Never,No,Galle,50000.0,850.0,0,Southern,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.0,4,1.0,2,1.0,0,0.0,0,0.0,8,60.0,Medium
Online,Before 1980,House was designed barely to pass the statutory requirements of the local authorities,Single House - Single Floor,1.0,600.0,Head of the household,Male,Vocational/Technical Institution,Professional,150000.0,150000.0,Cabook,Transparent walls (clear glass/ semi-transparent glass),Tile,0,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,"Electricity grid power, Solar Energy",Other,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We keep less than two-night lights on when sleeping,Never,Yes,Colombo,300000.0,600.0,0,Western,0,1,0,0,0,1,1,1,0,0,1,2,0,1,0,0,0,1,0,0,1,1,2,1.0,1,0.25,1,0.5,0,0.0,1,1.0,5,55.00000000000001,Medium
Online,2000 - 2009,The house was designed by a certified architect,Single House - Above double floor,3.0,1600.0,Son/daughter,Male,Does not attend,Professional,125000.0,150000.0,Brick,"Transparent walls (clear glass/ semi-transparent glass), Window walls (the wall is covered more than 80% by windows)",Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Solar Energy,"Water heating, Outdoor lighting, Cooking",I am not aware of how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,Never,Yes,Colombo,275000.0,533.3333333333334,0,Western,0,1,0,0,1,2,1,0,0,0,1,1,0,1,0,0,1,0,1,1,3,1,0,0.0,1,0.25,2,1.0,0,0.0,1,1.0,4,45.0,Low
Online,2000 - 2009,House was designed barely to pass the statutory requirements of the local authorities,Slum / Shanty,3.0,3000.0,Son/daughter,Male,University,Professional,40000.0,20000.0,Brick,"Transparent walls (clear glass/ semi-transparent glass), Other",Tile,0,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,Not using solar energy,I got to know through another mean,We iron when and where the need arises,We keep less than two-night lights on when sleeping,Never,No,Colombo,60000.0,1000.0,0,Western,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.25,1,0.5,0,0.0,0,0.0,3,25.0,Low
Online,Before 1980,The house was designed by a certified architect,Single House -Double Floor,2.0,3500.0,Son/daughter,Male,University,Professional,40000.0,30000.0,Brick,Window walls (the wall is covered more than 80% by windows),Tile,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We keep more than two lights on when sleeping,"Yes, some of the months",Yes,Kegalle,70000.0,1750.0,0,Sabaragamuwa,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.0,1,0.25,0,0.0,2,0.6666666666666666,1,1.0,6,58.33333333333333,Medium
Online,Before 1980,I am not aware of it,Single House - Single Floor,1.0,3000.0,Parents of the head of the household/spouse,Male,Does not attend,Professional,30000.0,25000.0,Cabook,Other,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I got to know through another mean,We iron the clothes weekly,We don’t keep any of the lights on when sleeping,"Rarely, once a year",No,Gampaha,55000.0,3000.0,0,Western,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,3,0.75,2,1.0,1,0.3333333333333333,0,0.0,7,51.66666666666667,Medium
